Name,2019 age 65 up,2019 age 15-64,2019 age 0-14,
British Virgin Islands,1927,22715,6019,0.067063409
Virgin Islands (U.S.),21193,64652,20786,0.248051218
Viet Nam,7286432,66783127,22392547,0.08170874
Vanuatu,10844,172952,116086,0.037517558
World,697967727,5005297852,1967448958,0.100099394
Samoa,9723,112745,74629,0.051890871
Kosovo[1],149883,1317760,465131,0.084067394
Yemen,846320,16877312,11438290,0.029888822
South Africa,3171080,38423840,16963350,0.05725295
Zambia,377817,9541751,7941462,0.021610273
Zimbabwe,436524,8034689,6174255,0.030721776
